0X,0Y,0Z,1X,1Y,1Z,2X,2Y,2Z,3X,3Y,3Z,4X,4Y,4Z,5X,5Y,5Z,6X,6Y,6Z,7X,7Y,7Z,8X,8Y,8Z,9X,9Y,9Z,10X,10Y,10Z,11X,11Y,11Z,12X,12Y,12Z,13X,13Y,13Z,14X,14Y,14Z,15X,15Y,15Z,16X,16Y,16Z,17X,17Y,17Z,18X,18Y,18Z,19X,19Y,19Z,20X,20Y,20Z,Target
0,0,0,-0.00021404,-0.058623672,-0.005438865,0.01904577,-0.107819259,-0.014892577,0.04236871,-0.13527143,-0.024752011,0.059331834,-0.164108872,-0.033314297,0.032249153,-0.106323838,-0.014235418,0.055490196,-0.12423867,-0.028567452,0.041790068,-0.105559587,-0.030576704,0.030568063,-0.091231883,-0.028911335,0.041194439,-0.076171994,-0.017904747,0.063086212,-0.093815029,-0.032390268,0.043886364,-0.075481772,-0.031246601,0.032709002,-0.06216532,-0.02798632,0.047873616,-0.043599427,-0.023833439,0.065782309,-0.060202897,-0.037487121,0.044470608,-0.048719823,-0.030421726,0.031101942,-0.037450194,-0.021542631,0.054098547,-0.008719504,-0.031366,0.06704694,-0.026789606,-0.03955681,0.051269054,-0.022756755,-0.033340214,0.041670561,-0.014571965,-0.023431301,0
0,0,0,-0.001390755,-0.060643137,-0.004127646,0.017710388,-0.109620631,-0.012365365,0.039953768,-0.136615574,-0.021671129,0.057494104,-0.162941039,-0.03071519,0.032708466,-0.105330408,-0.014906907,0.055068851,-0.127058744,-0.03087943,0.041322827,-0.109601259,-0.034558547,0.029486001,-0.094384611,-0.033028962,0.041154385,-0.075365245,-0.019349508,0.061991155,-0.09646064,-0.037372475,0.042030692,-0.079176605,-0.038481744,0.029960394,-0.063614845,-0.033829501,0.047330558,-0.042976975,-0.025729334,0.063776493,-0.06315738,-0.042242786,0.042509437,-0.051724195,-0.038035439,0.029100776,-0.037633717,-0.029273605,0.052581489,-0.008400261,-0.032639382,0.063499928,-0.028476059,-0.043904034,0.048176169,-0.024835587,-0.041284984,0.039364159,-0.015466452,-0.033771367,0
0,0,0,-0.00103581,-0.05930227,-0.004733704,0.018885553,-0.109079063,-0.011932888,0.040733635,-0.137536764,-0.020056017,0.057799041,-0.165973127,-0.027327595,0.033835232,-0.105529547,-0.016594071,0.055789471,-0.126754701,-0.03255401,0.041527033,-0.108448982,-0.03558874,0.029286027,-0.094224334,-0.033762677,0.04192704,-0.074662864,-0.020713996,0.061905444,-0.093201339,-0.03976321,0.041466713,-0.075075567,-0.040281618,0.029288828,-0.061330914,-0.034456385,0.047615886,-0.041970193,-0.026908159,0.063341439,-0.059505403,-0.043955,0.042001784,-0.047495902,-0.03869745,0.029193342,-0.035235286,-0.028831991,0.052295327,-0.007769763,-0.03345125,0.062321305,-0.024296701,-0.044742698,0.046756327,-0.020572901,-0.041915605,0.038672745,-0.01343888,-0.033860756,0
0,0,0,-0.0008865,-0.062005103,-0.010443162,0.019800544,-0.115433931,-0.019249711,0.043067575,-0.143126667,-0.029621114,0.06403631,-0.166484714,-0.041737906,0.042063594,-0.10894835,-0.012391223,0.060069144,-0.124629319,-0.043968174,0.046584189,-0.110381961,-0.061522096,0.032231629,-0.094108164,-0.066061969,0.050940216,-0.07676059,-0.016231411,0.066326737,-0.09174633,-0.049366615,0.04425621,-0.074365735,-0.058334126,0.027509511,-0.056698442,-0.056241139,0.056400239,-0.04121536,-0.024005617,0.068240583,-0.055695653,-0.056845471,0.043375969,-0.042947948,-0.057781714,0.025186062,-0.028289318,-0.04707026,0.059713721,-0.003146768,-0.032057247,0.069431126,-0.020623863,-0.055274605,0.050557435,-0.01595825,-0.054195307,0.03752327,-0.006201386,-0.043699886,0
0,0,0,0.016177386,-0.041145444,-0.004946851,0.030724227,-0.071399778,-0.017323585,0.043469459,-0.091436684,-0.030814336,0.055420399,-0.104302764,-0.046557974,-0.000139683,-0.113424718,-0.017715169,-0.010766536,-0.15227291,-0.027514796,-0.006221831,-0.161099166,-0.032794583,0.000540495,-0.155148745,-0.036326259,-0.011449844,-0.106388092,-0.021869627,-0.023718774,-0.147073299,-0.029999285,-0.017802328,-0.150930703,-0.031995825,-0.010078162,-0.143838823,-0.032346095,-0.018833995,-0.094984204,-0.026117406,-0.031096429,-0.131208599,-0.033031247,-0.024915069,-0.13200587,-0.032395266,-0.01671508,-0.123541892,-0.029737077,-0.023733795,-0.078747392,-0.030980775,-0.034351856,-0.105366886,-0.035811215,-0.031042963,-0.110535085,-0.034748662,-0.025041282,-0.10821113,-0.031372431,0
0,0,0,0.016230941,-0.037545204,0.002642992,0.030628055,-0.067285031,-0.003628585,0.043906033,-0.087594837,-0.011697801,0.055145204,-0.101512641,-0.021360532,-0.00219509,-0.103507251,-0.000635368,-0.008895814,-0.137771815,-0.003337279,-0.003702611,-0.150060803,-0.006424969,0.002498806,-0.150933236,-0.009281519,-0.013260156,-0.099069983,-0.006430252,-0.02220723,-0.135930032,-0.006617668,-0.014508933,-0.145079195,-0.006137348,-0.00725013,-0.143220961,-0.005607139,-0.020204663,-0.090540588,-0.011629609,-0.030460119,-0.123482496,-0.011330722,-0.022169739,-0.130179703,-0.009658779,-0.014166892,-0.127495348,-0.007401539,-0.024130076,-0.078560472,-0.017234559,-0.032711834,-0.103379518,-0.016514071,-0.028009206,-0.111705422,-0.013684208,-0.022211254,-0.112510055,-0.009485347,0
0,0,0,0.015313089,-0.032438457,-0.016635273,0.02911061,-0.060684144,-0.036525175,0.042170852,-0.078544706,-0.055605627,0.05285567,-0.093149662,-0.077041745,-0.00020358,-0.092574954,-0.048207484,-0.009671003,-0.124168813,-0.072387375,-0.008532882,-0.142743409,-0.085491404,-0.003673732,-0.151681259,-0.093123339,-0.012306094,-0.08452642,-0.051284708,-0.024043322,-0.116089612,-0.075664081,-0.020084083,-0.133929729,-0.08467631,-0.013311952,-0.141602099,-0.089247852,-0.020271897,-0.072597951,-0.053684085,-0.032804042,-0.101923555,-0.073899791,-0.028249383,-0.119845957,-0.082949057,-0.021507502,-0.12787044,-0.08645051,-0.025362641,-0.056478143,-0.057287816,-0.03575778,-0.081493109,-0.072259106,-0.034238249,-0.098407298,-0.080367021,-0.030052453,-0.110167235,-0.084597506,0
0,0,0,-0.001231968,-0.064132512,-0.004409118,0.02153033,-0.118498921,-0.014997567,0.046907723,-0.146460712,-0.023998152,0.066322505,-0.172875166,-0.031398322,0.03367281,-0.109998941,-0.044020581,0.063161612,-0.132776201,-0.052431769,0.049599767,-0.115295887,-0.044434196,0.035493076,-0.10213846,-0.038626022,0.042832911,-0.072914779,-0.047702189,0.068143308,-0.0936867,-0.057252738,0.048130214,-0.078507423,-0.043546314,0.033236384,-0.065035939,-0.035592566,0.050049484,-0.034524322,-0.051975488,0.06850183,-0.05564177,-0.059540908,0.047627807,-0.044142425,-0.044674206,0.032648206,-0.031049311,-0.034791409,0.055934906,0.004394829,-0.057128719,0.068955004,-0.018174648,-0.063384435,0.052718341,-0.013969243,-0.057334467,0.041732132,-0.004835308,-0.051719896,0
0,0,0,0.013169527,-0.045653313,0.010915382,0.022982866,-0.08654353,0.010859084,0.034092367,-0.114163399,0.005851204,0.044197738,-0.132677734,-0.001869741,-0.0057818,-0.119971484,0.018272103,-0.018866718,-0.156566203,0.015203023,-0.019897401,-0.179512054,0.010270254,-0.016809702,-0.195348948,0.007411541,-0.014221191,-0.112084478,0.005140322,-0.029643983,-0.152568549,0.000209266,-0.02921021,-0.174046546,-0.00771145,-0.023023039,-0.184965074,-0.012820299,-0.019997805,-0.099633664,-0.008097584,-0.03647086,-0.136358976,-0.011680219,-0.035806209,-0.15812996,-0.016747349,-0.029656172,-0.172347307,-0.019447069,-0.023392081,-0.082658082,-0.020950726,-0.036542356,-0.110271037,-0.02405236,-0.037796766,-0.13051632,-0.026142924,-0.034263492,-0.147447348,-0.027288256,0
0,0,0,0.015450537,-0.044902861,0.012004887,0.026755899,-0.084462672,0.014982139,0.03792125,-0.113703042,0.014319629,0.048652649,-0.133214861,0.012659319,-0.004743516,-0.110852003,0.020339774,-0.017534822,-0.146243602,0.024280853,-0.018404871,-0.166799337,0.025946997,-0.014612257,-0.179245502,0.02777639,-0.01480636,-0.103690743,0.011645539,-0.029811949,-0.141227871,0.014242195,-0.028762698,-0.160690278,0.015417078,-0.023520201,-0.171455085,0.016472293,-0.022002667,-0.093249798,0.00359954,-0.037624836,-0.127705306,0.006726726,-0.036409765,-0.147464186,0.008554198,-0.031118065,-0.159426391,0.010803805,-0.027154416,-0.079934806,-0.004880205,-0.038807809,-0.107010603,-0.001329717,-0.039832175,-0.125116944,0.001451303,-0.037398726,-0.138797045,0.004527542,0
